Common name,Scientific name,No.,No. Back
Thyolo Alethe,Chamaetylas choloensis,5,0
White-bellied Robin-Chat,Cossyphicula roberti,9,1
Mountain Robin-Chat,Cossypha isabellae,4,5
Archer's Ground Robin,Cossypha archeri,34,2
Olive-flanked Ground Robin,Cossypha anomala,83,9
Cape Robin-Chat,Cossypha caffra,201,176
White-throated Robin-Chat,Cossypha humeralis,73,15
Angolan Cave Chat,Cossypha ansorgei,5,1
Grey-winged Robin-Chat,Cossypha polioptera,21,0
Blue-shouldered Robin-Chat,Cossypha cyanocampter,56,4
Rüppell's Robin-Chat,Cossypha semirufa,218,16
White-browed Robin-Chat,Cossypha heuglini,254,74
Red-capped Robin-Chat,Cossypha natalensis,98,23
Chorister Robin-Chat,Cossypha dichroa,69,17
White-headed Robin-Chat,Cossypha heinrichi,4,0
Snowy-crowned Robin-Chat,Cossypha niveicapilla,70,10
White-crowned Robin-Chat,Cossypha albicapillus,27,22
Swynnerton's Robin,Swynnertonia swynnertoni,64,28
White-starred Robin,Pogonocichla stellata,75,33
Forest Robin,Stiphrornis erythrothorax,93,15
Short-tailed Akalat,Sheppardia poensis,3,1
Bocage's Akalat,Sheppardia bocagei,7,2
Equatorial Akalat,Sheppardia aequatorialis,20,4
Sharpe's Akalat,Sheppardia sharpei,57,22
East Coast Akalat,Sheppardia gunningi,26,3
Gabela Akalat,Sheppardia gabela,8,1
Rubeho Akalat,Sheppardia aurantiithorax,18,2
Usambara Akalat,Sheppardia montana,13,0
Iringa Akalat,Sheppardia lowei,14,3
Collared Palm Thrush,Cichladusa arquata,30,6
Rufous-tailed Palm Thrush,Cichladusa ruficauda,13,4
Spotted Palm Thrush,Cichladusa guttata,144,34
Great Shortwing,Heinrichia calligyna,22,0
Bagobo Babbler,Leonardina woodi,16,10
Gould's Shortwing,Heteroxenicus stellatus,4,0
Rusty-bellied Shortwing,Brachypteryx hyperythra,14,0
Lesser Shortwing,Brachypteryx leucophris,194,41
Himalayan Shortwing,Brachypteryx cruralis,50,2
Chinese Shortwing,Brachypteryx sinensis,13,1
Taiwan Shortwing,Brachypteryx goodfellowi,37,31
White-browed Shortwing,Brachypteryx montana,102,12
Eyebrowed Jungle Flycatcher,Vauriella gularis,10,0
White-throated Jungle Flycatcher,Vauriella albigularis,13,0
White-browed Jungle Flycatcher,Vauriella insignis,1,0
Slaty-backed Jungle Flycatcher,Vauriella goodfellowi,3,0
Indian Blue Robin,Larvivora brunnea,84,11
Siberian Blue Robin,Larvivora cyane,130,29
Rufous-tailed Robin,Larvivora sibilans,102,27
Rufous-headed Robin,Larvivora ruficeps,11,0
Ryukyu Robin,Larvivora komadori,37,12
Okinawa Robin,Larvivora namiyei,29,0
Japanese Robin,Larvivora akahige,41,22
Bluethroat,Luscinia svecica,1196,246
White-bellied Redstart,Luscinia phaenicuroides,62,11
Thrush Nightingale,Luscinia luscinia,893,1074
Common Nightingale,Luscinia megarhynchos,2624,2514
White-throated Robin,Irania gutturalis,38,5
Himalayan Rubythroat,Calliope pectoralis,35,2
Chinese Rubythroat,Calliope tschebaiewi,37,0
Siberian Rubythroat,Calliope calliope,301,59
Firethroat,Calliope pectardens,26,2
Blackthroat,Calliope obscura,10,0
White-tailed Robin,Myiomela leucura,89,52
Sumatran Blue Robin,Myiomela sumatrana,4,0
Javan Blue Robin,Myiomela diana,11,2
Nilgiri Blue Robin,Sholicola major,11,0
White-bellied Blue Robin,Sholicola albiventris,28,2
White-browed Bush Robin,Tarsiger indicus,79,81
Rufous-breasted Bush Robin,Tarsiger hyperythrus,2,0
Collared Bush Robin,Tarsiger johnstoniae,24,26
Red-flanked Bluetail,Tarsiger cyanurus,274,77
Himalayan Bluetail,Tarsiger rufilatus,44,9
Golden Bush Robin,Tarsiger chrysaeus,47,2
Little Forktail,Enicurus scouleri,2,0
Sunda Forktail,Enicurus velatus,7,0
Chestnut-naped Forktail,Enicurus ruficapillus,17,0
Black-backed Forktail,Enicurus immaculatus,6,0
Slaty-backed Forktail,Enicurus schistaceus,37,1
White-crowned Forktail,Enicurus leschenaulti,85,5
Bornean Forktail,Enicurus borneensis,10,0
Spotted Forktail,Enicurus maculatus,16,0
Sri Lanka Whistling Thrush,Myophonus blighi,14,0
Shiny Whistling Thrush,Myophonus melanurus,15,1
Javan Whistling Thrush,Myophonus glaucinus,19,5
Bornean Whistling Thrush,Myophonus borneensis,14,0
Brown-winged Whistling Thrush,Myophonus castaneus,1,0
Malayan Whistling Thrush,Myophonus robinsoni,13,0
Malabar Whistling Thrush,Myophonus horsfieldii,73,12
Taiwan Whistling Thrush,Myophonus insularis,29,8
Blue Whistling Thrush,Myophonus caeruleus,185,18
Blue-fronted Robin,Cinclidium frontale,18,4
Yellow-rumped Flycatcher,Ficedula zanthopygia,152,32
Green-backed Flycatcher,Ficedula elisae,64,4
Narcissus Flycatcher,Ficedula narcissina,84,970
Ryukyu Flycatcher,Ficedula owstoni,24,1
Slaty-backed Flycatcher,Ficedula erithacus,49,3
Mugimaki Flycatcher,Ficedula mugimaki,69,22
Pygmy Flycatcher,Ficedula hodgsoni,25,3
Rufous-gorgeted Flycatcher,Ficedula strophiata,50,7
Sapphire Flycatcher,Ficedula sapphira,11,0
Ultramarine Flycatcher,Ficedula superciliaris,37,7
Little Pied Flycatcher,Ficedula westermanni,105,34
Slaty-blue Flycatcher,Ficedula tricolor,45,1
Snowy-browed Flycatcher,Ficedula hyperythra,105,18
Rusty-tailed Flycatcher,Ficedula ruficauda,14,3
Taiga Flycatcher,Ficedula albicilla,207,42
Red-breasted Flycatcher,Ficedula parva,984,187
Kashmir Flycatcher,Ficedula subrubra,12,0
Semicollared Flycatcher,Ficedula semitorquata,50,12
European Pied Flycatcher,Ficedula hypoleuca,1422,611
Collared Flycatcher,Ficedula albicollis,518,144
Atlas Pied Flycatcher,Ficedula speculigera,20,21
Tanimbar Flycatcher,Ficedula riedeli,6,0
Black-and-orange Flycatcher,Ficedula nigrorufa,25,6
Rufous-chested Flycatcher,Ficedula dumetoria,60,2
Furtive Flycatcher,Ficedula disposita,6,0
Palawan Flycatcher,Ficedula platenae,11,0
Rufous-throated Flycatcher,Ficedula rufigula,4,0
Cinnamon-chested Flycatcher,Ficedula buruensis,4,0
Sumba Flycatcher,Ficedula harterti,6,0
Black-banded Flycatcher,Ficedula timorensis,12,0
Little Slaty Flycatcher,Ficedula basilanica,22,0
Cryptic Flycatcher,Ficedula crypta,5,0
Bundok Flycatcher,Ficedula luzoniensis,4,0
Lompobattang Flycatcher,Ficedula bonthaina,10,0
Damar Flycatcher,Ficedula henrici,18,2
Przevalski's Redstart,Phoenicurus alaschanicus,8,0
Eversmann's Redstart,Phoenicurus erythronotus,12,3
Blue-capped Redstart,Phoenicurus coeruleocephala,22,2
Black Redstart,Phoenicurus ochruros,1497,951
Common Redstart,Phoenicurus phoenicurus,1603,692
Hodgson's Redstart,Phoenicurus hodgsoni,17,4
White-throated Redstart,Phoenicurus schisticeps,15,0
Daurian Redstart,Phoenicurus auroreus,148,76
Moussier's Redstart,Phoenicurus moussieri,30,2
Güldenstädt's Redstart,Phoenicurus erythrogastrus,31,2
Blue-fronted Redstart,Phoenicurus frontalis,49,10
Plumbeous Water Redstart,Phoenicurus fuliginosus,69,7
Luzon Water Redstart,Phoenicurus bicolor,6,0
White-capped Redstart,Phoenicurus leucocephalus,32,2
White-winged Cliff Chat,Monticola semirufus,4,0
Cape Rock Thrush,Monticola rupestris,44,5
Sentinel Rock Thrush,Monticola explorator,6,0
Short-toed Rock Thrush,Monticola brevipes,3,0
Miombo Rock Thrush,Monticola angolensis,13,1
Common Rock Thrush,Monticola saxatilis,129,19
Little Rock Thrush,Monticola rufocinereus,32,1
Blue Rock Thrush,Monticola solitarius,221,46
Chestnut-bellied Rock Thrush,Monticola rufiventris,24,2
Blue-capped Rock Thrush,Monticola cinclorhyncha,21,0
White-throated Rock Thrush,Monticola gularis,19,2
Littoral Rock Thrush,Monticola imerina,25,0
Forest Rock Thrush,Monticola sharpei,26,2
Whinchat,Saxicola rubetra,646,231
White-browed Bush Chat,Saxicola macrorhynchus,1,0
White-throated Bush Chat,Saxicola insignis,7,1
Canary Islands Stonechat,Saxicola dacotiae,14,0
European Stonechat,Saxicola rubicola,791,361
Siberian Stonechat,Saxicola maurus,60,10
Stejneger's Stonechat,Saxicola stejnegeri,41,10
African Stonechat,Saxicola torquatus,103,27
Madagascar Stonechat,Saxicola sibilla,17,5
Reunion Stonechat,Saxicola tectes,50,27
White-tailed Stonechat,Saxicola leucurus,7,0
Pied Bush Chat,Saxicola caprata,137,33
Jerdon's Bush Chat,Saxicola jerdoni,24,10
Grey Bush Chat,Saxicola ferreus,78,12
White-bellied Bush Chat,Saxicola gutturalis,19,2
Buff-streaked Chat,Campicoloides bifasciatus,13,1
Sickle-winged Chat,Emarginata sinuata,17,0
Karoo Chat,Emarginata schlegelii,12,1
Tractrac Chat,Emarginata tractrac,6,0
Moorland Chat,Pinarochroa sordida,10,0
Mocking Cliff Chat,Thamnolaea cinnamomeiventris,65,1
White-crowned Cliff Chat,Thamnolaea coronata,5,0
Sooty Chat,Myrmecocichla nigra,19,0
Anteater Chat,Myrmecocichla aethiops,19,0
Ant-eating Chat,Myrmecocichla formicivora,59,4
Rüppell's Black Chat,Myrmecocichla melaena,6,0
Mountain Wheatear,Myrmecocichla monticola,26,0
Arnot's Chat,Myrmecocichla arnotti,30,4
Ruaha Chat,Myrmecocichla collaris,16,0
Northern Wheatear,Oenanthe oenanthe,496,47
Atlas Wheatear,Oenanthe seebohmi,12,0
Capped Wheatear,Oenanthe pileata,38,0
Red-breasted Wheatear,Oenanthe bottae,7,0
Heuglin's Wheatear,Oenanthe heuglinii,1,0
Isabelline Wheatear,Oenanthe isabellina,159,9
Hooded Wheatear,Oenanthe monacha,5,0
Desert Wheatear,Oenanthe deserti,70,11
Western Black-eared Wheatear,Oenanthe hispanica,99,37
Eastern Black-eared Wheatear,Oenanthe melanoleuca,59,9
Cyprus Wheatear,Oenanthe cypriaca,33,10
Pied Wheatear,Oenanthe pleschanka,84,12
White-fronted Black Chat,Oenanthe albifrons,4,0
Somali Wheatear,Oenanthe phillipsi,1,0
Red-rumped Wheatear,Oenanthe moesta,25,0
Blackstart,Oenanthe melanura,36,9
Familiar Chat,Oenanthe familiaris,36,4
Brown-tailed Rock Chat,Oenanthe scotocerca,16,0
Sombre Rock Chat,Oenanthe dubia,10,0
Brown Rock Chat,Oenanthe fusca,18,8
Variable Wheatear,Oenanthe picata,4,0
Black Wheatear,Oenanthe leucura,83,7
Abyssinian Wheatear,Oenanthe lugubris,17,1
White-crowned Wheatear,Oenanthe leucopyga,43,8
Hume's Wheatear,Oenanthe albonigra,21,0
Finsch's Wheatear,Oenanthe finschii,15,1
Maghreb Wheatear,Oenanthe halophila,1,0
Mourning Wheatear,Oenanthe lugens,7,0
Basalt Wheatear,Oenanthe warriae,1,0
Arabian Wheatear,Oenanthe lugentoides,22,0
Kurdish Wheatear,Oenanthe xanthoprymna,2,0
Red-tailed Wheatear,Oenanthe chrysopygia,16,1
Herero Chat,Namibornis herero,4,0
Humblot's Flycatcher,Humblotia flavirostris,2,0
White-throated Dipper,Cinclus cinclus,269,8
Brown Dipper,Cinclus pallasii,34,1
American Dipper,Cinclus mexicanus,46,0
White-capped Dipper,Cinclus leucocephalus,8,0
Rufous-throated Dipper,Cinclus schulzii,4,0
Philippine Leafbird,Chloropsis flavipennis,6,0
Yellow-throated Leafbird,Chloropsis palawanensis,11,0
Greater Green Leafbird,Chloropsis sonnerati,68,5
Lesser Green Leafbird,Chloropsis cyanopogon,37,6
Blue-winged Leafbird,Chloropsis moluccensis,91,6
Javan Leafbird,Chloropsis cochinchinensis,10,11
Bornean Leafbird,Chloropsis kinabaluensis,10,0
Jerdon's Leafbird,Chloropsis jerdoni,16,1
Golden-fronted Leafbird,Chloropsis aurifrons,78,2
Sumatran Leafbird,Chloropsis media,1,0
Orange-bellied Leafbird,Chloropsis hardwickii,113,7
Greyish-crowned Leafbird,Chloropsis lazulina,26,0
Blue-masked Leafbird,Chloropsis venusta,1,0
Olive-backed Flowerpecker,Prionochilus olivaceus,11,1
Yellow-breasted Flowerpecker,Prionochilus maculatus,37,2
Crimson-breasted Flowerpecker,Prionochilus percussus,17,0
Palawan Flowerpecker,Prionochilus plateni,8,1
Yellow-rumped Flowerpecker,Prionochilus xanthopygius,24,0
Scarlet-breasted Flowerpecker,Prionochilus thoracicus,22,1
Spectacled Flowerpecker,Dicaeum dayakorum,2,0
Golden-rumped Flowerpecker,Dicaeum annae,8,0
Thick-billed Flowerpecker,Dicaeum agile,26,1
Striped Flowerpecker,Dicaeum aeruginosum,3,0
Brown-backed Flowerpecker,Dicaeum everetti,4,0
Whiskered Flowerpecker,Dicaeum proprium,11,0
Yellow-vented Flowerpecker,Dicaeum chrysorrheum,24,5
Yellow-bellied Flowerpecker,Dicaeum melanozanthum,6,0
Legge's Flowerpecker,Dicaeum vincens,8,0
Yellow-sided Flowerpecker,Dicaeum aureolimbatum,4,0
Olive-capped Flowerpecker,Dicaeum nigrilore,4,1
Yellow-crowned Flowerpecker,Dicaeum anthonyi,2,0
Flame-crowned Flowerpecker,Dicaeum kampalili,1,0
Bicolored Flowerpecker,Dicaeum bicolor,9,0
Red-keeled Flowerpecker,Dicaeum australe,30,7
Black-belted Flowerpecker,Dicaeum haematostictum,2,0
Scarlet-collared Flowerpecker,Dicaeum retrocinctum,7,0
Cebu Flowerpecker,Dicaeum quadricolor,1,0
Orange-bellied Flowerpecker,Dicaeum trigonostigma,141,41
Buzzing Flowerpecker,Dicaeum hypoleucum,12,0
Pale-billed Flowerpecker,Dicaeum erythrorhynchos,76,42
Nilgiri Flowerpecker,Dicaeum concolor,33,11
Plain Flowerpecker,Dicaeum minullum,64,22
Andaman Flowerpecker,Dicaeum virescens,11,4
Pygmy Flowerpecker,Dicaeum pygmaeum,15,0
Crimson-crowned Flowerpecker,Dicaeum nehrkorni,12,0
Flame-breasted Flowerpecker,Dicaeum erythrothorax,1,1
Halmahera Flowerpecker,Dicaeum schistaceiceps,7,0
Ashy Flowerpecker,Dicaeum vulneratum,4,0
Olive-crowned Flowerpecker,Dicaeum pectorale,5,2
Red-capped Flowerpecker,Dicaeum geelvinkianum,10,5
Louisiade Flowerpecker,Dicaeum nitidum,2,0
Red-banded Flowerpecker,Dicaeum eximium,2,0
Midget Flowerpecker,Dicaeum aeneum,19,3
Mottled Flowerpecker,Dicaeum tristrami,8,3
Black-fronted Flowerpecker,Dicaeum igniferum,14,6
Blue-cheeked Flowerpecker,Dicaeum maugei,19,12
Mistletoebird,Dicaeum hirundinaceum,94,46
Grey-sided Flowerpecker,Dicaeum celebicum,9,0
Black-sided Flowerpecker,Dicaeum monticolum,6,0
Fire-breasted Flowerpecker,Dicaeum ignipectus,167,39
Blood-breasted Flowerpecker,Dicaeum sanguinolentum,16,3
Scarlet-backed Flowerpecker,Dicaeum cruentatum,118,42
Scarlet-headed Flowerpecker,Dicaeum trochileum,13,3
Ruby-cheeked Sunbird,Chalcoparia singalensis,56,8
Fraser's Sunbird,Deleornis fraseri,9,0
Grey-headed Sunbird,Deleornis axillaris,3,0
Plain-backed Sunbird,Anthreptes reichenowi,16,0
Anchieta's Sunbird,Anthreptes anchietae,9,0
Plain Sunbird,Anthreptes simplex,14,1
Brown-throated Sunbird,Anthreptes malacensis,147,26
Grey-throated Sunbird,Anthreptes griseigularis,2,0
Red-throated Sunbird,Anthreptes rhodolaemus,13,1
Mangrove Sunbird,Anthreptes gabonicus,12,3
Western Violet-backed Sunbird,Anthreptes longuemarei,7,0
Eastern Violet-backed Sunbird,Anthreptes orientalis,21,5
Uluguru Violet-backed Sunbird,Anthreptes neglectus,1,0
Little Green Sunbird,Anthreptes seimundi,5,5
Yellow-chinned Sunbird,Anthreptes rectirostris,9,1
Grey-chinned Sunbird,Anthreptes tephrolaemus,8,2
Banded Green Sunbird,Anthreptes rubritorques,7,0
'Gallardy's' Sunbird,Anthreptes sp.nov.,2,0
Collared Sunbird,Hedydipna collaris,227,66
Pygmy Sunbird,Hedydipna platura,22,7
Nile Valley Sunbird,Hedydipna metallica,30,12
Amani Sunbird,Hedydipna pallidigaster,6,0
Reichenbach's Sunbird,Anabathmis reichenbachii,15,1
Principe Sunbird,Anabathmis hartlaubii,4,4
Newton's Sunbird,Anabathmis newtonii,14,3
Giant Sunbird,Dreptes thomensis,16,2
Orange-breasted Sunbird,Anthobaphes violacea,18,2
Green-headed Sunbird,Cyanomitra verticalis,29,1
Bannerman's Sunbird,Cyanomitra bannermani,3,0
Blue-throated Brown Sunbird,Cyanomitra cyanolaema,23,12
Cameroon Sunbird,Cyanomitra oritis,6,2
Blue-headed Sunbird,Cyanomitra alinae,17,0
Olive Sunbird,Cyanomitra olivacea,307,248
Grey Sunbird,Cyanomitra veroxii,95,57
Buff-throated Sunbird,Chalcomitra adelberti,9,2
Carmelite Sunbird,Chalcomitra fuliginosa,11,0
Green-throated Sunbird,Chalcomitra rubescens,12,0
Amethyst Sunbird,Chalcomitra amethystina,69,20
Scarlet-chested Sunbird,Chalcomitra senegalensis,130,25
Hunter's Sunbird,Chalcomitra hunteri,11,0
Socotra Sunbird,Chalcomitra balfouri,3,0
Purple-rumped Sunbird,Leptocoma zeylonica,81,36
Crimson-backed Sunbird,Leptocoma minima,36,4
Purple-throated Sunbird,Leptocoma sperata,27,0
Van Hasselt's Sunbird,Leptocoma brasiliana,59,8
Black Sunbird,Leptocoma aspasia,47,5
Copper-throated Sunbird,Leptocoma calcostetha,31,1
Bocage's Sunbird,Nectarinia bocagii,2,0
Tacazze Sunbird,Nectarinia tacazze,23,5
Bronzy Sunbird,Nectarinia kilimensis,54,24
Malachite Sunbird,Nectarinia famosa,77,13
Scarlet-tufted Sunbird,Nectarinia johnstoni,14,0
Golden-winged Sunbird,Drepanorhynchus reichenowi,14,1
Olive-bellied Sunbird,Cinnyris chloropygius,89,38
Tiny Sunbird,Cinnyris minullus,15,0
Eastern Miombo Sunbird,Cinnyris manoensis,10,0
Western Miombo Sunbird,Cinnyris gertrudis,20,1
Southern Double-collared Sunbird,Cinnyris chalybeus,81,76
Neergaard's Sunbird,Cinnyris neergaardi,5,0
Rwenzori Double-collared Sunbird,Cinnyris stuhlmanni,11,0
Whyte's Double-collared Sunbird,Cinnyris whytei,7,0
Ludwig's Double-collared Sunbird,Cinnyris ludovicensis,2,0
Northern Double-collared Sunbird,Cinnyris reichenowi,58,31
Greater Double-collared Sunbird,Cinnyris afer,33,6
Regal Sunbird,Cinnyris regius,27,2
Eastern Double-collared Sunbird,Cinnyris mediocris,35,10
Usambara Double-collared Sunbird,Cinnyris usambaricus,20,0
Forest Double-collared Sunbird,Cinnyris fuelleborni,9,0
Moreau's Sunbird,Cinnyris moreaui,48,9
Loveridge's Sunbird,Cinnyris loveridgei,14,3
Beautiful Sunbird,Cinnyris pulchellus,62,26
Marico Sunbird,Cinnyris mariquensis,71,18
Shelley's Sunbird,Cinnyris shelleyi,3,0
Hofmann's Sunbird,Cinnyris hofmanni,2,0
Congo Sunbird,Cinnyris congensis,3,0
Red-chested Sunbird,Cinnyris erythrocercus,31,4
Black-bellied Sunbird,Cinnyris nectarinioides,22,2
Purple-banded Sunbird,Cinnyris bifasciatus,64,6
Tsavo Sunbird,Cinnyris tsavoensis,10,1
Pemba Sunbird,Cinnyris pembae,22,3
Orange-tufted Sunbird,Cinnyris bouvieri,9,1
Palestine Sunbird,Cinnyris osea,50,22
Shining Sunbird,Cinnyris habessinicus,31,4
Splendid Sunbird,Cinnyris coccinigastrus,66,10
Johanna's Sunbird,Cinnyris johannae,13,0
Superb Sunbird,Cinnyris superbus,9,0
Rufous-winged Sunbird,Cinnyris rufipennis,21,1
Oustalet's Sunbird,Cinnyris oustaleti,3,0
White-bellied Sunbird,Cinnyris talatala,105,61
Variable Sunbird,Cinnyris venustus,172,83
Dusky Sunbird,Cinnyris fuscus,38,10
Ursula's Sunbird,Cinnyris ursulae,1,0
Bates's Sunbird,Cinnyris batesi,10,0
Copper Sunbird,Cinnyris cupreus,30,3
Purple Sunbird,Cinnyris asiaticus,199,165
Olive-backed Sunbird,Cinnyris jugularis,356,139
Apricot-breasted Sunbird,Cinnyris buettikoferi,5,0
Flame-breasted Sunbird,Cinnyris solaris,21,5
Souimanga Sunbird,Cinnyris sovimanga,59,169
Malagasy Green Sunbird,Cinnyris notatus,25,6
Seychelles Sunbird,Cinnyris dussumieri,34,17
Humblot's Sunbird,Cinnyris humbloti,6,2
Anjouan Sunbird,Cinnyris comorensis,3,3
Mayotte Sunbird,Cinnyris coquerellii,2,0
Loten's Sunbird,Cinnyris lotenius,30,4
Grey-hooded Sunbird,Aethopyga primigenia,4,0
Apo Sunbird,Aethopyga boltoni,12,0
Lina's Sunbird,Aethopyga linaraborae,14,0
Flaming Sunbird,Aethopyga flagrans,2,0
Maroon-naped Sunbird,Aethopyga guimarasensis,3,0
Metallic-winged Sunbird,Aethopyga pulcherrima,12,0
Luzon Sunbird,Aethopyga jefferyi,11,0
Bohol Sunbird,Aethopyga decorosa,1,0
Elegant Sunbird,Aethopyga duyvenbodei,4,0
Lovely Sunbird,Aethopyga shelleyi,18,21
Handsome Sunbird,Aethopyga bella,17,0
Mrs. Gould's Sunbird,Aethopyga gouldiae,78,13
Green-tailed Sunbird,Aethopyga nipalensis,83,19
White-flanked Sunbird,Aethopyga eximia,19,2
Fork-tailed Sunbird,Aethopyga christinae,73,25
Black-throated Sunbird,Aethopyga saturata,73,11
Crimson Sunbird,Aethopyga siparaja,120,18
Magnificent Sunbird,Aethopyga magnifica,10,0
Vigors's Sunbird,Aethopyga vigorsii,14,0
Javan Sunbird,Aethopyga mystacalis,15,3
Temminck's Sunbird,Aethopyga temminckii,33,0
Fire-tailed Sunbird,Aethopyga ignicauda,22,4
Purple-naped Sunbird,Kurochkinegramma hypogrammicum,49,11
Little Spiderhunter,Arachnothera longirostra,195,64
Orange-tufted Spiderhunter,Arachnothera flammifera,3,0
Pale Spiderhunter,Arachnothera dilutior,8,3
Thick-billed Spiderhunter,Arachnothera crassirostris,5,1
Long-billed Spiderhunter,Arachnothera robusta,11,0
Spectacled Spiderhunter,Arachnothera flavigaster,23,1
Yellow-eared Spiderhunter,Arachnothera chrysogenys,9,1
Naked-faced Spiderhunter,Arachnothera clarae,3,0
Grey-breasted Spiderhunter,Arachnothera modesta,13,0
Streaky-breasted Spiderhunter,Arachnothera affinis,12,2
Bornean Spiderhunter,Arachnothera everetti,16,0
Streaked Spiderhunter,Arachnothera magna,83,20
Whitehead's Spiderhunter,Arachnothera juliae,8,0
Cinnamon Ibon,Hypocryptadius cinnamomeus,10,3
Pale Rockfinch,Carpospiza brachydactyla,30,1
Rock Sparrow,Petronia petronia,321,273
White-rumped Snowfinch,Onychostruthus taczanowskii,18,1
Tibetan Snowfinch,Montifringilla henrici,15,0
White-winged Snowfinch,Montifringilla nivalis,113,2
Black-winged Snowfinch,Montifringilla adamsi,6,0
Rufous-necked Snowfinch,Pyrgilauda ruficollis,14,0
Pere David's Snowfinch,Pyrgilauda davidiana,35,0
Blanford's Snowfinch,Pyrgilauda blanfordi,7,0
Yellow-spotted Bush Sparrow,Gymnoris pyrgita,29,0
Yellow-throated Bush Sparrow,Gymnoris superciliaris,49,9
Sahel Bush Sparrow,Gymnoris dentata,39,16
Yellow-throated Sparrow,Gymnoris xanthocollis,62,14
Cape Sparrow,Passer melanurus,69,68
Chestnut Sparrow,Passer eminibey,10,0
Shelley's Sparrow,Passer shelleyi,15,0
Kenya Sparrow,Passer rufocinctus,49,25
Great Sparrow,Passer motitensis,10,0
Northern Grey-headed Sparrow,Passer griseus,82,97
Swainson's Sparrow,Passer swainsonii,22,24
Swahili Sparrow,Passer suahelicus,12,2
Parrot-billed Sparrow,Passer gongonensis,14,6
Southern Grey-headed Sparrow,Passer diffusus,62,101
Sind Sparrow,Passer pyrrhonotus,16,3
Russet Sparrow,Passer cinnamomeus,89,6
Eurasian Tree Sparrow,Passer montanus,2596,3705
Saxaul Sparrow,Passer ammodendri,32,0
Plain-backed Sparrow,Passer flaveolus,63,6
Socotra Sparrow,Passer insularis,4,3
Spanish Sparrow,Passer hispaniolensis,252,340
Italian Sparrow,Passer italiae,170,212
House Sparrow,Passer domesticus,2682,6833
Somali Sparrow,Passer castanopterus,2,0
Iago Sparrow,Passer iagoensis,26,7
Desert Sparrow,Passer simplex,54,6
Arabian Golden Sparrow,Passer euchlorus,14,0
Sudan Golden Sparrow,Passer luteus,28,8
Dead Sea Sparrow,Passer moabiticus,22,3
White-billed Buffalo Weaver,Bubalornis albirostris,19,18
Red-billed Buffalo Weaver,Bubalornis niger,38,7
White-headed Buffalo Weaver,Dinemellia dinemelli,38,18
White-browed Sparrow-Weaver,Plocepasser mahali,143,171
Chestnut-crowned Sparrow-Weaver,Plocepasser superciliosus,29,1
Donaldson Smith's Sparrow-Weaver,Plocepasser donaldsoni,4,0
Chestnut-backed Sparrow-Weaver,Plocepasser rufoscapulatus,8,0
Rufous-tailed Weaver,Histurgops ruficauda,22,6
Grey-capped Social Weaver,Pseudonigrita arnaudi,27,8
Black-capped Social Weaver,Pseudonigrita cabanisi,9,3
Sociable Weaver,Philetairus socius,32,13
Scaly-feathered Weaver,Sporopipes squamifrons,25,12
Speckle-fronted Weaver,Sporopipes frontalis,17,1
Thick-billed Weaver,Amblyospiza albifrons,31,3
Baglafecht Weaver,Ploceus baglafecht,52,15
Bannerman's Weaver,Ploceus bannermani,8,2
Bertram's Weaver,Ploceus bertrandi,5,0
Slender-billed Weaver,Ploceus pelzelni,7,2
Loango Weaver,Ploceus subpersonatus,1,0
Little Weaver,Ploceus luteolus,23,0
Spectacled Weaver,Ploceus ocularis,62,21
Black-necked Weaver,Ploceus nigricollis,32,10
Strange Weaver,Ploceus alienus,12,3
Black-billed Weaver,Ploceus melanogaster,7,1
Cape Weaver,Ploceus capensis,35,23
Bocage's Weaver,Ploceus temporalis,2,0
Eastern Golden Weaver,Ploceus subaureus,29,14
Holub's Golden Weaver,Ploceus xanthops,43,10
Orange Weaver,Ploceus aurantius,6,2
Heuglin's Masked Weaver,Ploceus heuglini,1,0
Golden Palm Weaver,Ploceus bojeri,9,11
Taveta Weaver,Ploceus castaneiceps,19,5
Principe Weaver,Ploceus princeps,6,0
Northern Brown-throated Weaver,Ploceus castanops,5,0
Southern Brown-throated Weaver,Ploceus xanthopterus,19,1
Kilombero Weaver,Ploceus burnieri,43,10
Rüppell's Weaver,Ploceus galbula,49,24
Northern Masked Weaver,Ploceus taeniopterus,6,0
Lesser Masked Weaver,Ploceus intermedius,42,10
Southern Masked Weaver,Ploceus velatus,54,101
Katanga Masked Weaver,Ploceus katangae,9,0
Vitelline Masked Weaver,Ploceus vitellinus,36,19
Speke's Weaver,Ploceus spekei,25,3
Fox's Weaver,Ploceus spekeoides,5,0
Village Weaver,Ploceus cucullatus,143,84
Giant Weaver,Ploceus grandis,2,0
Vieillot's Black Weaver,Ploceus nigerrimus,33,22
Weyns's Weaver,Ploceus weynsi,1,0
Clarke's Weaver,Ploceus golandi,4,1
Juba Weaver,Ploceus dichrocephalus,4,0
Black-headed Weaver,Ploceus melanocephalus,69,88
Golden-backed Weaver,Ploceus jacksoni,17,2
Cinnamon Weaver,Ploceus badius,2,0
Chestnut Weaver,Ploceus rubiginosus,16,3
Yellow-mantled Weaver,Ploceus tricolor,2,0
Maxwell's Black Weaver,Ploceus albinucha,9,1
Nelicourvi Weaver,Ploceus nelicourvi,21,1
Sakalava Weaver,Ploceus sakalava,27,3
Asian Golden Weaver,Ploceus hypoxanthus,19,2
Compact Weaver,Ploceus superciliosus,14,1
